,Outbreak,Country/Region,Province/State,Date,Confirmed,Country,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service,Confirmed_transformed,Month,Week,Confirmed_Lag_5,Confirmed_Transformed_Lag_5,Confirmed_Lag_4,Confirmed_Transformed_Lag_4,Confirmed_Lag_3,Confirmed_Transformed_Lag_3,Confirmed_Lag_2,Confirmed_Transformed_Lag_2,Confirmed_Lag_1,Confirmed_Transformed_Lag_1,Outbreak_enc,Country_enc,Region_enc
0,COVID_2019, Azerbaijan,Others,2020-02-28,1.0,Undefined,Others,,,,,,,,,,,,,,,,,,,5e-06,2,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,9
1,COVID_2019,"('St. Martin',)",Others,2020-03-10,2.0,Undefined,Others,,,,,,,,,,,,,,,,,,,1e-05,3,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,9
2,COVID_2019,Afghanistan,Others,2020-02-24,1.0,Afghanistan,ASIA (EX. NEAR EAST)         ,31056997.0,647500.0,"48,0","0,00","23,06","163,07",700.0,"36,0","3,2","12,13","0,22","87,65",1,"46,6","20,34","0,38","0,24","0,38",5e-06,2,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0
3,COVID_2019,Afghanistan,Others,2020-02-25,1.0,Afghanistan,ASIA (EX. NEAR EAST)         ,31056997.0,647500.0,"48,0","0,00","23,06","163,07",700.0,"36,0","3,2","12,13","0,22","87,65",1,"46,6","20,34","0,38","0,24","0,38",5e-06,2,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5e-06,0,2,0
4,COVID_2019,Afghanistan,Others,2020-02-26,1.0,Afghanistan,ASIA (EX. NEAR EAST)         ,31056997.0,647500.0,"48,0","0,00","23,06","163,07",700.0,"36,0","3,2","12,13","0,22","87,65",1,"46,6","20,34","0,38","0,24","0,38",5e-06,2,9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5e-06,1.0,5e-06,0,2,0
5,COVID_2019,Afghanistan,Others,2020-02-27,1.0,Afghanistan,ASIA (EX. NEAR EAST)         ,31056997.0,647500.0,"48,0","0,00","23,06","163,07",700.0,"36,0","3,2","12,13","0,22","87,65",1,"46,6","20,34","0,38","0,24","0,38",5e-06,2,9,0.0,0.0,0.0,0.0,1.0,5e-06,1.0,5e-06,1.0,5e-06,0,2,0
6,COVID_2019,Afghanistan,Others,2020-02-28,1.0,Afghanistan,ASIA (EX. NEAR EAST)         ,31056997.0,647500.0,"48,0","0,00","23,06","163,07",700.0,"36,0","3,2","12,13","0,22","87,65",1,"46,6","20,34","0,38","0,24","0,38",5e-06,2,9,0.0,0.0,1.0,5e-06,1.0,5e-06,1.0,5e-06,1.0,5e-06,0,2,0
7,COVID_2019,Afghanistan,Others,2020-02-29,1.0,Afghanistan,ASIA (EX. NEAR EAST)         ,31056997.0,647500.0,"48,0","0,00","23,06","163,07",700.0,"36,0","3,2","12,13","0,22","87,65",1,"46,6","20,34","0,38","0,24","0,38",5e-06,2,9,1.0,5e-06,1.0,5e-06,1.0,5e-06,1.0,5e-06,1.0,5e-06,0,2,0
8,COVID_2019,Afghanistan,Others,2020-03-01,1.0,Afghanistan,ASIA (EX. NEAR EAST)         ,31056997.0,647500.0,"48,0","0,00","23,06","163,07",700.0,"36,0","3,2","12,13","0,22","87,65",1,"46,6","20,34","0,38","0,24","0,38",5e-06,3,9,1.0,5e-06,1.0,5e-06,1.0,5e-06,1.0,5e-06,1.0,5e-06,0,2,0
9,COVID_2019,Afghanistan,Others,2020-03-02,1.0,Afghanistan,ASIA (EX. NEAR EAST)         ,31056997.0,647500.0,"48,0","0,00","23,06","163,07",700.0,"36,0","3,2","12,13","0,22","87,65",1,"46,6","20,34","0,38","0,24","0,38",5e-06,3,10,1.0,5e-06,1.0,5e-06,1.0,5e-06,1.0,5e-06,1.0,5e-06,0,2,0
